,Attrition,Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Ticket_Medio,Transacoes_por_Mes,Gasto_Medio_Mensal,Rotativo_Ratio,Disponibilidade_Relativa
count,10127.0,10127.0,10127.0,10127.0,10127.0,10127.0,10127.0,10127.0,10127.0,10127.0,10127.0,10127.0,10127.0,10127.0,10127.0,10127.0,10127.0,10127.0,10127.0,10127.0
mean,0.1606596227905599,46.32596030413745,2.3462032191172115,35.928409203120374,3.8125802310654686,2.3411671768539546,2.4553174681544387,8631.953698034955,1162.8140614199665,7469.139636614989,0.7599406536980349,4404.086303939963,64.85869457884863,0.7122223758269972,0.2748935518909845,62.61271690294649,1.9231200733916662,131.01197714166275,0.2748919858452803,0.7251080141547196
std,0.3672348368711599,8.016814032549028,1.2989083489037903,7.986416330872062,1.5544078653388251,1.0106223994182812,1.106225142635924,9088.776650223155,814.9873352357522,9090.685323679103,0.21920676923070273,3397.129253557087,23.472570449232997,0.2380860913329413,0.27569146925238774,26.40419796841332,0.9119765892926507,115.72230020532216,0.2756890995039579,0.2756890995039579
min,0.0,26.0,0.0,13.0,1.0,0.0,0.0,1438.3,0.0,3.0,0.0,510.0,10.0,0.0,0.0,19.13793103448276,0.1886792452830188,10.0,0.0,0.0012320328542094
25%,0.0,41.0,1.0,31.0,3.0,2.0,2.0,2555.0,359.0,1324.5,0.631,2155.5,45.0,0.582,0.023,47.514573070607554,1.2727272727272727,62.36111111111112,0.0227141036041256,0.4973086278135216
50%,0.0,46.0,2.0,36.0,4.0,2.0,2.0,4549.0,1276.0,3474.0,0.736,3899.0,67.0,0.702,0.176,55.7948717948718,1.8571428571428568,105.8,0.1756499682942295,0.8243500317057705
75%,0.0,52.0,3.0,40.0,5.0,3.0,3.0,11067.5,1784.0,9859.0,0.859,4741.0,81.0,0.818,0.503,65.47667342799188,2.361111111111111,141.36114864864865,0.5026913721864783,0.9772858963958744
max,1.0,73.0,5.0,56.0,6.0,6.0,6.0,34516.0,2517.0,34516.0,3.397,18484.0,139.0,3.714,0.999,190.1931818181818,9.76923076923077,1256.8461538461538,0.9987679671457904,1.0
