titulo,url,origem
"Regression Model Evaluation Metrics — Brandon Wohlwend","https://medium.com/@brandon93.w/regression-model-evaluation-metrics-r-squared-adjusted-r-squared-mse-rmse-and-mae-24dcc0e4cbd3","Aula 03"
"Bias-variance trade-off — Carlos Alberto Bonfim","https://archive.is/R6rFB","Aula 03"
"Bias-variance trade-off — Carlos Alberto Bonfim","https://medium.com/data-hackers/o-que-é-bias-variance-tradeoff-a5bc19866e4b","Aula 03"
"Handling Multicollinearity — Manoj Kumar","https://archive.is/eQqbi","Aula 03"
"Handling Multicollinearity — Manoj Kumar","https://medium.com/@manojkotary/handling-multicollinearity-in-linear-regression-a-practical-guide-fc7940da2684","Aula 03"
"O tradeoff entre viés e variância — Regis A Ely","https://archive.is/B60xA","Aula 03"
"O tradeoff entre viés e variância — Regis A Ely","https://regisely.com/blog/bias-variance/","Aula 03"
"Lasso & Ridge Regularization — Amit Chauhan","https://archive.is/5nQ2y","Aula 03"
"Lasso & Ridge Regularization — Amit Chauhan","https://pub.towardsai.net/lasso-l1-and-ridge-l2-regularization-techniques-33b7f12ac0b","Aula 03"
"Fully Explained Linear Regression with Python","https://archive.is/NH8MX","Aula 03"
"Fully Explained Linear Regression with Python","https://pub.towardsai.net/fully-explained-logistic-regression-with-python-f4a16413ddcd","Aula 03"
"Top 6 ML Algorithms for Classification — Destin Gong","https://archive.is/7tS12","Aula 04"
"Top 6 ML Algorithms for Classification — Destin Gong","https://towardsdatascience.com/top-machine-learning-algorithms-for-classification-2197870ff501","Aula 04"
"Classification Algorithm — Dhanush Kumar","https://archive.is/7tS12","Aula 04"
"Classification Algorithm — Dhanush Kumar","https://medium.com/@danushidk507/classification-algorithm-13caad1742da","Aula 04"
"Confusion Matrix in ML — Amit Chauhan","https://archive.is/zJo4A","Aula 04"
"Confusion Matrix in ML — Amit Chauhan","https://medium.com/analytics-vidhya/confusion-matrix-in-machine-learning-91b6e2b3f9af","Aula 04"
"Bias-variance trade-off — Carlos Alberto Bonfim","https://archive.is/R6rFB","Aula 04"
